,base,cloudiness,cod,latitude,longitude,dt,id,main.grnd_level,humidity,main.pressure,main.sea_level,temperature,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,windspeed
20,stations,100.0,200,-46.13,167.69,1562640122.0,2180815.0,,77.0,1006.0,,283.15,283.15,283.15,,Tuatapere,,0.25,NZ,2008959.0,0.0086,1562617813.0,1562649482.0,3.0,43200.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",240.0,9.83,4.92
21,stations,75.0,200,3.17,113.03,1562640123.0,1737486.0,,74.0,1012.0,,303.15,303.15,303.15,,Bintulu,,,MY,9365.0,0.0088,1562624637.0,1562668898.0,1.0,28800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2.1
22,stations,93.0,200,29.72,113.88,1562640123.0,1798473.0,1001.67,78.0,1004.71,1004.71,298.753,298.753,298.753,,Puqi,,0.125,CN,,0.0067,1562621437.0,1562671690.0,,28800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",23.144,,4.68
23,stations,0.0,200,43.56,6.97,1562640123.0,3037456.0,,69.0,1010.0,,296.56,299.82,294.26,,Saint-Joseph,,,FR,6507.0,0.0088,1562644763.0,1562699686.0,1.0,7200.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10.0,,1.5
24,stations,100.0,200,-21.64,-41.05,1562640123.0,3448903.0,1015.78,72.0,1027.22,1027.22,289.713,289.713,289.713,,Sao Joao da Barra,,,BR,,0.0076,1562577776.0,1562616907.0,,-10800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",197.592,,0.56
25,stations,90.0,200,-53.16,-70.91,1562640022.0,3874787.0,,93.0,1012.0,,278.15,278.15,278.15,,Punta Arenas,,,CL,8487.0,0.008,1562590530.0,1562618487.0,1.0,-10800.0,2000.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",40.0,,2.6
26,stations,0.0,200,-23.58,149.07,1562640124.0,2175403.0,998.41,48.0,1018.6,1018.6,295.223,295.223,295.223,,Bluff,,,AU,,0.007,1562618771.0,1562657463.0,,36000.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",98.515,,2.32
27,stations,0.0,200,-20.74,116.85,1562639944.0,6620339.0,1008.46,16.0,1019.31,1019.31,302.233,302.233,302.233,,Karratha,,,AU,,0.0067,1562626176.0,1562665525.0,,28800.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",112.58,,4.28
28,stations,100.0,200,-0.92,100.36,1562640124.0,1633419.0,1013.08,76.0,1013.56,1013.56,298.833,298.833,298.833,,Padang,,,ID,,0.0064,1562628084.0,1562671533.0,,25200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",24.815,,1.1
29,stations,75.0,200,2.29,111.83,1562639987.0,1735902.0,,79.0,1012.0,,301.15,302.15,300.93,,Sibu,,,MY,9369.0,0.009,1562625013.0,1562669098.0,1.0,28800.0,10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,1.0
30,stations,96.0,200,14.68,-86.92,1562640125.0,3609418.0,912.97,90.0,1015.73,1015.73,293.103,293.103,293.103,,San Cristobal,,,HN,,0.006,1562585034.0,1562631670.0,,-21600.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",96.434,,2.44
31,stations,0.0,200,-20.63,-46.0,1562640125.0,3453439.0,914.68,78.0,1025.43,1025.43,284.093,284.093,284.093,,Ponta do Sol,,,BR,,0.006,1562578849.0,1562618210.0,,-10800.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",48.99,,1.57
32,stations,0.0,200,62.23,-6.59,1562640125.0,2618795.0,,93.0,1020.0,,279.15,279.15,279.15,,Klaksvik,,,FO,1596.0,0.0089,1562640755.0,1562710203.0,1.0,3600.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",70.0,,1.0
33,stations,16.0,200,-23.12,-134.97,1562640125.0,4030556.0,1013.85,84.0,1014.4,1014.4,296.483,296.483,296.483,,Rikitea,,0.188,PF,,0.0115,1562600487.0,1562639282.0,,-32400.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",77.538,,8.33
34,stations,13.0,200,-9.8,-139.03,1562640126.0,4020109.0,1010.5,76.0,1010.37,1010.37,299.863,299.863,299.863,,Atuona,,0.562,PF,,0.0108,1562600023.0,1562641696.0,,-34200.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",88.45,,6.54
35,stations,4.0,200,-16.48,-151.75,1562640126.0,4034551.0,1011.74,82.0,1011.77,1011.77,299.253,299.253,299.253,,Faanui,,,PF,,0.008,1562603772.0,1562644053.0,,-36000.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",110.955,,7.25
36,stations,0.0,200,39.77,98.29,1562640126.0,1280957.0,826.01,32.0,1010.67,1010.67,295.223,295.223,295.223,,Jiayuguan,,,CN,,0.0059,1562623585.0,1562677026.0,,28800.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",98.859,,4.89
